12811	186	120	201	135	0
12812	155	120	170	135	0
#IN PIPE
12950	215	154	230	181	0
# Turn small to big || big to small LEFT & RIGHT
12961	18	0	31	27	3
12962	18	33	31	60	3
12963	18	70	31	97	3
12971	43	0	56	27	3
12972	44	33	57	60	3
12973	44	70	57	97	3
############ RACCON ################
#IDLE RIGHT & LEFT
13121	243	634	264	661	0
13111	182	634	203	661	0

#WALKING RIGHT
13222	272	634	293	661	0
13223	303	634	324	661	0

#WALKING LEFT
13212	152	634	173	661	0
13213	122	634	143	661	0

#RUNNING RIGHT
13321	331	634	354	661	0
13322	362	634	385	661	0
13323	393	634	416	661	0

#RUNNING LEFT
13311	91	634	112	661	0
13312	61	634	84	661	0
13313	34	634	55	661	0

#JUMP WALK RIGHT & LEFT
13417	391	754	414	781	0
13413	31	754	54	781	0

#JUMP RUN RIGHT & LEFT
13427	361	754	384	781	0
13423	61	754	84	781	0

#SIT RIGHT & LEFT 
13521	422	719	443	736	0
13511	2	719	23	736	0

#BRACE RIGHT & LEFT 
13621	424	633	443	662	0
13611	5	633	22	662	0

#KICK RIGHT & LEFT
13721	422	754	443	781	0
13711	2	754	23	781	0
#HOLD RIGHT
13821	242	794	263	821	0
13822	272	794	293	821	0
13823	303	794	324	821	0
#HOLD LEFT
13811	182	794	203	821	0
13812	152	794	173	821	0
13813	122	794	143	821	0
#IN PIPE
13950	214	713	231	742	0
#FLY RIGHT
13921	61	714	84	741	0
13922	61	754	84	781	0
#FLY LEFT
13911	361	714	384	741	0
13912	361	754	384	781	0
#ATTACK RIGHT & LEFT
13960	22	0	43	27	1
13961	215	634	236	661	0
13962	0	0	21	27	1
13963	209	634	230	661	0	
#Turn big to raccon
13971	40	1	55	16	2
13972	58	1	73	16	2
13973	76	1	91	16	2
13974	94	1	109	16	2
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#####  BIG ###############
#IDLE
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100
#KICK RIGHT & LEFT
1010	11721	100
1011	11711	100

#HOLD WALK RIGHT & LEFT
1020	11821	100	11822	100	11823	100
1021	11811	100	11812	100	11813	100
#HOLD IDLE RIGHT & LEFT
1030	11821	100
1031	11811	100
#IN PIPE
1050	11950	100
#DIE
999	13001	100

################### SMALL #################
#IDLE
1100	12121	100
1101	12111	100

#WALK RIGHT & LEFT
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN RIGHT & LEFT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE RIGHT & LEFT
1400	12521	100
1401	12511	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#KICK RIGHT & LEFT
1700	12721	100
1701	12711	100

#HOLD WALK RIGHT & LEFT
1800	12821	100	12822	100
1801	12811	100	12812	100
#HOLD IDLE RIGHT & LEFT
1810	12821	100
1811	12811	100
#IN PIPE
1950	12950	100
#Turn small to big LEFT & RIGHT
1960	12961	100	12962	100	12963	100
1961	12971	100	12972	100	12973	100
#Big to small LEFT & RIGHT
1962	12963	100	12962	100	12961	100
1963	12973	100	12972	100	12971	100
################### RACCON #################
#IDLE
2000	13121	100
2001	13111	100

#WALK RIGHT & LEFT
2100	13121	100	13222	100	13223	100
2101	13111	100	13212	100	13213	100

#RUN RIGHT & LEFT
2200	13321	100	13322	100	13323	100
2201	13311	100	13312	100	13313	100

#BRACE RIGHT & LEFT
2301	13611	100
2300	13621	100

#JUMP WALK
2400	13417	100
2401	13413	100

#JUMP RUN 
2501	13423	100
2500	13427	100

#KICK RIGHT & LEFT
2600	13721	500
2601	13711	500

#HOLD WALK RIGHT & LEFT
2700	13821	100	13822	100	13823	100
2701	13811	100	13812	100	13813	100
#HOLD IDLE RIGHT & LEFT
2710	13821	100
2711	13811	100
#IN PIPE
2850	13950	100
#FLY RIGHT & LEFT
2800	13921	100	13922	100
2801	13911	100	13912	100
#SIT RIGHT & LEFT
2900	13521	100
2901	13511	100
#ATTACK RIGHT & LEFT
2950	13960	100	13961	100
2951	13962	100	13963	100 
#TURN BIG TO RACCON
2961	13971	100	13972	100	13973	100	13974	100
